# 本 snapshot 產生於 commit 482bacf（161 tests）
# 此為修復後現況基準，非跨版本永恆正確性證明。
# 產生時 §11.1 待決項為 53 項。
#
# 產生時之已知問題狀態：
#   [已修] 1. 旬空、月破顯示佔位符（L2 未接通）
#   [已修] 2. 逐爻推導全部「未有對應模板」
#   [已修] 3. 多軌頁只顯示三本、標「三家共識」
#   [已修] 4. 原文摺疊區「未提供逐字原文」
#   [已修] 5. 卦名不完整（「水雷」缺「屯」）—— L1 運算層
#   [已修] 6. 伏神 dump JSON、內部 TODO 標記洩漏
#   [已修] 7. 用神選擇疑無實際作用（L3）
#
# K／Y 僅呈現多軌材料，未把空亡、沖散或四神判語應用為效果語義。
case_index,hexagram_id,hexagram_name,lines,moving_mask,moving_positions,moving_count_expected,moving_count_actual,changed_lines_complete,hidden_count,failed_checks,placeholder_checks,exception_type,exception_message,result_class
1,1,乾為天,111111,0,,0,0,true,0,,,,,normal
2,1,乾為天,111111,1,1,1,1,true,0,,,,,normal
3,1,乾為天,111111,2,2,1,1,true,0,,,,,normal
4,1,乾為天,111111,3,1|2,2,2,true,0,,,,,normal
5,1,乾為天,111111,4,3,1,1,true,0,,,,,normal
6,1,乾為天,111111,5,1|3,2,2,true,0,,,,,normal
7,1,乾為天,111111,6,2|3,2,2,true,0,,,,,normal
8,1,乾為天,111111,7,1|2|3,3,3,true,0,,,,,normal
9,1,乾為天,111111,8,4,1,1,true,0,,,,,normal
10,1,乾為天,111111,9,1|4,2,2,true,0,,,,,normal
11,1,乾為天,111111,10,2|4,2,2,true,0,,,,,normal
12,1,乾為天,111111,11,1|2|4,3,3,true,0,,,,,normal
13,1,乾為天,111111,12,3|4,2,2,true,0,,,,,normal
14,1,乾為天,111111,13,1|3|4,3,3,true,0,,,,,normal
15,1,乾為天,111111,14,2|3|4,3,3,true,0,,,,,normal
16,1,乾為天,111111,15,1|2|3|4,4,4,true,0,,,,,normal
17,1,乾為天,111111,16,5,1,1,true,0,,,,,normal
18,1,乾為天,111111,17,1|5,2,2,true,0,,,,,normal
19,1,乾為天,111111,18,2|5,2,2,true,0,,,,,normal
20,1,乾為天,111111,19,1|2|5,3,3,true,0,,,,,normal
21,1,乾為天,111111,20,3|5,2,2,true,0,,,,,normal
22,1,乾為天,111111,21,1|3|5,3,3,true,0,,,,,normal
23,1,乾為天,111111,22,2|3|5,3,3,true,0,,,,,normal
24,1,乾為天,111111,23,1|2|3|5,4,4,true,0,,,,,normal
25,1,乾為天,111111,24,4|5,2,2,true,0,,,,,normal
26,1,乾為天,111111,25,1|4|5,3,3,true,0,,,,,normal
27,1,乾為天,111111,26,2|4|5,3,3,true,0,,,,,normal
28,1,乾為天,111111,27,1|2|4|5,4,4,true,0,,,,,normal
29,1,乾為天,111111,28,3|4|5,3,3,true,0,,,,,normal
30,1,乾為天,111111,29,1|3|4|5,4,4,true,0,,,,,normal
31,1,乾為天,111111,30,2|3|4|5,4,4,true,0,,,,,normal
32,1,乾為天,111111,31,1|2|3|4|5,5,5,true,0,,,,,normal
33,1,乾為天,111111,32,6,1,1,true,0,,,,,normal
34,1,乾為天,111111,33,1|6,2,2,true,0,,,,,normal
35,1,乾為天,111111,34,2|6,2,2,true,0,,,,,normal
36,1,乾為天,111111,35,1|2|6,3,3,true,0,,,,,normal
37,1,乾為天,111111,36,3|6,2,2,true,0,,,,,normal
38,1,乾為天,111111,37,1|3|6,3,3,true,0,,,,,normal
39,1,乾為天,111111,38,2|3|6,3,3,true,0,,,,,normal
40,1,乾為天,111111,39,1|2|3|6,4,4,true,0,,,,,normal
41,1,乾為天,111111,40,4|6,2,2,true,0,,,,,normal
42,1,乾為天,111111,41,1|4|6,3,3,true,0,,,,,normal
43,1,乾為天,111111,42,2|4|6,3,3,true,0,,,,,normal
44,1,乾為天,111111,43,1|2|4|6,4,4,true,0,,,,,normal
45,1,乾為天,111111,44,3|4|6,3,3,true,0,,,,,normal
46,1,乾為天,111111,45,1|3|4|6,4,4,true,0,,,,,normal
47,1,乾為天,111111,46,2|3|4|6,4,4,true,0,,,,,normal
48,1,乾為天,111111,47,1|2|3|4|6,5,5,true,0,,,,,normal
49,1,乾為天,111111,48,5|6,2,2,true,0,,,,,normal
50,1,乾為天,111111,49,1|5|6,3,3,true,0,,,,,normal
51,1,乾為天,111111,50,2|5|6,3,3,true,0,,,,,normal
52,1,乾為天,111111,51,1|2|5|6,4,4,true,0,,,,,normal
53,1,乾為天,111111,52,3|5|6,3,3,true,0,,,,,normal
54,1,乾為天,111111,53,1|3|5|6,4,4,true,0,,,,,normal
55,1,乾為天,111111,54,2|3|5|6,4,4,true,0,,,,,normal
56,1,乾為天,111111,55,1|2|3|5|6,5,5,true,0,,,,,normal
57,1,乾為天,111111,56,4|5|6,3,3,true,0,,,,,normal
58,1,乾為天,111111,57,1|4|5|6,4,4,true,0,,,,,normal
59,1,乾為天,111111,58,2|4|5|6,4,4,true,0,,,,,normal
60,1,乾為天,111111,59,1|2|4|5|6,5,5,true,0,,,,,normal
61,1,乾為天,111111,60,3|4|5|6,4,4,true,0,,,,,normal
62,1,乾為天,111111,61,1|3|4|5|6,5,5,true,0,,,,,normal
63,1,乾為天,111111,62,2|3|4|5|6,5,5,true,0,,,,,normal
64,1,乾為天,111111,63,1|2|3|4|5|6,6,6,true,0,,,,,normal
65,2,天風姤,011111,0,,0,0,true,1,,,,,normal
66,2,天風姤,011111,1,1,1,1,true,1,,,,,normal
67,2,天風姤,011111,2,2,1,1,true,1,,,,,normal
68,2,天風姤,011111,3,1|2,2,2,true,1,,,,,normal
69,2,天風姤,011111,4,3,1,1,true,1,,,,,normal
70,2,天風姤,011111,5,1|3,2,2,true,1,,,,,normal
71,2,天風姤,011111,6,2|3,2,2,true,1,,,,,normal
72,2,天風姤,011111,7,1|2|3,3,3,true,1,,,,,normal
73,2,天風姤,011111,8,4,1,1,true,1,,,,,normal
74,2,天風姤,011111,9,1|4,2,2,true,1,,,,,normal
75,2,天風姤,011111,10,2|4,2,2,true,1,,,,,normal
76,2,天風姤,011111,11,1|2|4,3,3,true,1,,,,,normal
77,2,天風姤,011111,12,3|4,2,2,true,1,,,,,normal
78,2,天風姤,011111,13,1|3|4,3,3,true,1,,,,,normal
79,2,天風姤,011111,14,2|3|4,3,3,true,1,,,,,normal
80,2,天風姤,011111,15,1|2|3|4,4,4,true,1,,,,,normal
81,2,天風姤,011111,16,5,1,1,true,1,,,,,normal
82,2,天風姤,011111,17,1|5,2,2,true,1,,,,,normal
83,2,天風姤,011111,18,2|5,2,2,true,1,,,,,normal
84,2,天風姤,011111,19,1|2|5,3,3,true,1,,,,,normal
85,2,天風姤,011111,20,3|5,2,2,true,1,,,,,normal
86,2,天風姤,011111,21,1|3|5,3,3,true,1,,,,,normal
87,2,天風姤,011111,22,2|3|5,3,3,true,1,,,,,normal
88,2,天風姤,011111,23,1|2|3|5,4,4,true,1,,,,,normal
89,2,天風姤,011111,24,4|5,2,2,true,1,,,,,normal
90,2,天風姤,011111,25,1|4|5,3,3,true,1,,,,,normal
91,2,天風姤,011111,26,2|4|5,3,3,true,1,,,,,normal
92,2,天風姤,011111,27,1|2|4|5,4,4,true,1,,,,,normal
93,2,天風姤,011111,28,3|4|5,3,3,true,1,,,,,normal
94,2,天風姤,011111,29,1|3|4|5,4,4,true,1,,,,,normal
95,2,天風姤,011111,30,2|3|4|5,4,4,true,1,,,,,normal
96,2,天風姤,011111,31,1|2|3|4|5,5,5,true,1,,,,,normal
97,2,天風姤,011111,32,6,1,1,true,1,,,,,normal
98,2,天風姤,011111,33,1|6,2,2,true,1,,,,,normal
99,2,天風姤,011111,34,2|6,2,2,true,1,,,,,normal
100,2,天風姤,011111,35,1|2|6,3,3,true,1,,,,,normal
101,2,天風姤,011111,36,3|6,2,2,true,1,,,,,normal
102,2,天風姤,011111,37,1|3|6,3,3,true,1,,,,,normal
103,2,天風姤,011111,38,2|3|6,3,3,true,1,,,,,normal
104,2,天風姤,011111,39,1|2|3|6,4,4,true,1,,,,,normal
105,2,天風姤,011111,40,4|6,2,2,true,1,,,,,normal
106,2,天風姤,011111,41,1|4|6,3,3,true,1,,,,,normal
107,2,天風姤,011111,42,2|4|6,3,3,true,1,,,,,normal
108,2,天風姤,011111,43,1|2|4|6,4,4,true,1,,,,,normal
109,2,天風姤,011111,44,3|4|6,3,3,true,1,,,,,normal
110,2,天風姤,011111,45,1|3|4|6,4,4,true,1,,,,,normal
111,2,天風姤,011111,46,2|3|4|6,4,4,true,1,,,,,normal
112,2,天風姤,011111,47,1|2|3|4|6,5,5,true,1,,,,,normal
113,2,天風姤,011111,48,5|6,2,2,true,1,,,,,normal
114,2,天風姤,011111,49,1|5|6,3,3,true,1,,,,,normal
115,2,天風姤,011111,50,2|5|6,3,3,true,1,,,,,normal
116,2,天風姤,011111,51,1|2|5|6,4,4,true,1,,,,,normal
117,2,天風姤,011111,52,3|5|6,3,3,true,1,,,,,normal
118,2,天風姤,011111,53,1|3|5|6,4,4,true,1,,,,,normal
119,2,天風姤,011111,54,2|3|5|6,4,4,true,1,,,,,normal
120,2,天風姤,011111,55,1|2|3|5|6,5,5,true,1,,,,,normal
121,2,天風姤,011111,56,4|5|6,3,3,true,1,,,,,normal
122,2,天風姤,011111,57,1|4|5|6,4,4,true,1,,,,,normal
123,2,天風姤,011111,58,2|4|5|6,4,4,true,1,,,,,normal
124,2,天風姤,011111,59,1|2|4|5|6,5,5,true,1,,,,,normal
125,2,天風姤,011111,60,3|4|5|6,4,4,true,1,,,,,normal
126,2,天風姤,011111,61,1|3|4|5|6,5,5,true,1,,,,,normal
127,2,天風姤,011111,62,2|3|4|5|6,5,5,true,1,,,,,normal
128,2,天風姤,011111,63,1|2|3|4|5|6,6,6,true,1,,,,,normal
129,3,天山遯,001111,0,,0,0,true,2,,,,,normal
130,3,天山遯,001111,1,1,1,1,true,2,,,,,normal
131,3,天山遯,001111,2,2,1,1,true,2,,,,,normal
132,3,天山遯,001111,3,1|2,2,2,true,2,,,,,normal
133,3,天山遯,001111,4,3,1,1,true,2,,,,,normal
134,3,天山遯,001111,5,1|3,2,2,true,2,,,,,normal
135,3,天山遯,001111,6,2|3,2,2,true,2,,,,,normal
136,3,天山遯,001111,7,1|2|3,3,3,true,2,,,,,normal
137,3,天山遯,001111,8,4,1,1,true,2,,,,,normal
138,3,天山遯,001111,9,1|4,2,2,true,2,,,,,normal
139,3,天山遯,001111,10,2|4,2,2,true,2,,,,,normal
140,3,天山遯,001111,11,1|2|4,3,3,true,2,,,,,normal
141,3,天山遯,001111,12,3|4,2,2,true,2,,,,,normal
142,3,天山遯,001111,13,1|3|4,3,3,true,2,,,,,normal
143,3,天山遯,001111,14,2|3|4,3,3,true,2,,,,,normal
144,3,天山遯,001111,15,1|2|3|4,4,4,true,2,,,,,normal
145,3,天山遯,001111,16,5,1,1,true,2,,,,,normal
146,3,天山遯,001111,17,1|5,2,2,true,2,,,,,normal
147,3,天山遯,001111,18,2|5,2,2,true,2,,,,,normal
148,3,天山遯,001111,19,1|2|5,3,3,true,2,,,,,normal
149,3,天山遯,001111,20,3|5,2,2,true,2,,,,,normal
150,3,天山遯,001111,21,1|3|5,3,3,true,2,,,,,normal
151,3,天山遯,001111,22,2|3|5,3,3,true,2,,,,,normal
152,3,天山遯,001111,23,1|2|3|5,4,4,true,2,,,,,normal
153,3,天山遯,001111,24,4|5,2,2,true,2,,,,,normal
154,3,天山遯,001111,25,1|4|5,3,3,true,2,,,,,normal
155,3,天山遯,001111,26,2|4|5,3,3,true,2,,,,,normal
156,3,天山遯,001111,27,1|2|4|5,4,4,true,2,,,,,normal
157,3,天山遯,001111,28,3|4|5,3,3,true,2,,,,,normal
158,3,天山遯,001111,29,1|3|4|5,4,4,true,2,,,,,normal
159,3,天山遯,001111,30,2|3|4|5,4,4,true,2,,,,,normal
160,3,天山遯,001111,31,1|2|3|4|5,5,5,true,2,,,,,normal
161,3,天山遯,001111,32,6,1,1,true,2,,,,,normal
162,3,天山遯,001111,33,1|6,2,2,true,2,,,,,normal
163,3,天山遯,001111,34,2|6,2,2,true,2,,,,,normal
164,3,天山遯,001111,35,1|2|6,3,3,true,2,,,,,normal
165,3,天山遯,001111,36,3|6,2,2,true,2,,,,,normal
166,3,天山遯,001111,37,1|3|6,3,3,true,2,,,,,normal
167,3,天山遯,001111,38,2|3|6,3,3,true,2,,,,,normal
168,3,天山遯,001111,39,1|2|3|6,4,4,true,2,,,,,normal
169,3,天山遯,001111,40,4|6,2,2,true,2,,,,,normal
170,3,天山遯,001111,41,1|4|6,3,3,true,2,,,,,normal
171,3,天山遯,001111,42,2|4|6,3,3,true,2,,,,,normal
172,3,天山遯,001111,43,1|2|4|6,4,4,true,2,,,,,normal
173,3,天山遯,001111,44,3|4|6,3,3,true,2,,,,,normal
174,3,天山遯,001111,45,1|3|4|6,4,4,true,2,,,,,normal
175,3,天山遯,001111,46,2|3|4|6,4,4,true,2,,,,,normal
176,3,天山遯,001111,47,1|2|3|4|6,5,5,true,2,,,,,normal
