# 本 snapshot 產生於 commit 06167f7（133 tests）
# 此為修復後現況基準，非跨版本永恆正確性證明。
#
# 產生時之已知問題狀態：
#   [已修] 1. 旬空、月破顯示佔位符（L2 未接通）
#   [已修] 2. 逐爻推導全部「未有對應模板」
#   [已修] 3. 多軌頁只顯示三本、標「三家共識」
#   [部分修復] 4. 原文摺疊區主流程已接通；C1-R2／增刪卜易仍有一格原文 fallback 缺口
#   [已修] 5. 卦名不完整（「水雷」缺「屯」）—— L1 運算層
#   [未修] 6. 伏神 dump JSON、內部 TODO 標記洩漏
#   [已修] 7. 用神選擇疑無實際作用（L3）
#
# 後續修復 4、6 後須重新產生 snapshot 並更新本檔頭。
case_index,hexagram_id,hexagram_name,moving_pattern,moving_positions,month_branch,day_ganzhi,xunkong,month_break_branch,seasonal_states,empty_line_count,month_break_line_count,template_missing_lines,template_missing_contexts,c1_hits,c15_hits,failed_checks,placeholder_checks,exception_type,exception_message,result_class
1,1,乾為天,static,,子,甲子,戌|亥,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
2,1,乾為天,static,,子,乙丑,戌|亥,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
3,1,乾為天,static,,子,丙寅,戌|亥,午,旺|相|囚|死|休|囚,1,1,,,5:休囚之爻遇日沖,4:靜爻遇沖|5:靜爻遇沖,,,,,normal
4,1,乾為天,static,,子,丁卯,戌|亥,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
5,1,乾為天,static,,子,戊辰,戌|亥,午,旺|相|囚|死|休|囚,1,1,,,6:休囚之爻遇日沖,4:靜爻遇沖|6:空爻遇沖,,,,,normal
6,1,乾為天,static,,子,己巳,戌|亥,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
7,1,乾為天,static,,子,庚午,戌|亥,午,旺|相|囚|死|休|囚,1,1,,,1:臨日月之爻遇沖|4:臨日月之爻遇沖,1:靜爻遇沖|4:靜爻遇沖,,,,,normal
8,1,乾為天,static,,子,辛未,戌|亥,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
9,1,乾為天,static,,子,壬申,戌|亥,午,旺|相|囚|死|休|囚,1,1,,,2:旺相之爻遇沖,2:靜爻遇沖|4:靜爻遇沖,,,,,normal
10,1,乾為天,static,,子,癸酉,戌|亥,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
11,1,乾為天,static,,子,甲戌,申|酉,午,旺|相|囚|死|休|囚,1,1,,,3:休囚之爻遇日沖,3:靜爻遇沖|4:靜爻遇沖,,,,,normal
12,1,乾為天,static,,子,乙亥,申|酉,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
13,1,乾為天,static,,子,丙子,申|酉,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
14,1,乾為天,static,,子,丁丑,申|酉,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
15,1,乾為天,static,,子,戊寅,申|酉,午,旺|相|囚|死|休|囚,1,1,,,5:休囚之爻遇日沖,4:靜爻遇沖|5:空爻遇沖,,,,,normal
16,1,乾為天,static,,子,己卯,申|酉,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
17,1,乾為天,static,,子,庚辰,申|酉,午,旺|相|囚|死|休|囚,1,1,,,6:休囚之爻遇日沖,4:靜爻遇沖|6:靜爻遇沖,,,,,normal
18,1,乾為天,static,,子,辛巳,申|酉,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
19,1,乾為天,static,,子,壬午,申|酉,午,旺|相|囚|死|休|囚,1,1,,,1:臨日月之爻遇沖|4:臨日月之爻遇沖,1:靜爻遇沖|4:靜爻遇沖,,,,,normal
20,1,乾為天,static,,子,癸未,申|酉,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
21,1,乾為天,static,,子,甲申,午|未,午,旺|相|囚|死|休|囚,1,1,,,2:旺相之爻遇沖,2:靜爻遇沖|4:空爻遇沖,,,,,normal
22,1,乾為天,static,,子,乙酉,午|未,午,旺|相|囚|死|休|囚,1,1,,,,4:空爻遇沖,,,,,normal
23,1,乾為天,static,,子,丙戌,午|未,午,旺|相|囚|死|休|囚,1,1,,,3:休囚之爻遇日沖,3:靜爻遇沖|4:空爻遇沖,,,,,normal
24,1,乾為天,static,,子,丁亥,午|未,午,旺|相|囚|死|休|囚,1,1,,,,4:空爻遇沖,,,,,normal
25,1,乾為天,static,,子,戊子,午|未,午,旺|相|囚|死|休|囚,1,1,,,,4:空爻遇沖,,,,,normal
26,1,乾為天,static,,子,己丑,午|未,午,旺|相|囚|死|休|囚,1,1,,,,4:空爻遇沖,,,,,normal
27,1,乾為天,static,,子,庚寅,午|未,午,旺|相|囚|死|休|囚,1,1,,,5:休囚之爻遇日沖,4:空爻遇沖|5:靜爻遇沖,,,,,normal
28,1,乾為天,static,,子,辛卯,午|未,午,旺|相|囚|死|休|囚,1,1,,,,4:空爻遇沖,,,,,normal
29,1,乾為天,static,,子,壬辰,午|未,午,旺|相|囚|死|休|囚,1,1,,,6:休囚之爻遇日沖,4:空爻遇沖|6:靜爻遇沖,,,,,normal
30,1,乾為天,static,,子,癸巳,午|未,午,旺|相|囚|死|休|囚,1,1,,,,4:空爻遇沖,,,,,normal
31,1,乾為天,static,,子,甲午,辰|巳,午,旺|相|囚|死|休|囚,1,1,,,1:臨日月之爻遇沖|4:臨日月之爻遇沖,1:靜爻遇沖|4:靜爻遇沖,,,,,normal
32,1,乾為天,static,,子,乙未,辰|巳,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
33,1,乾為天,static,,子,丙申,辰|巳,午,旺|相|囚|死|休|囚,1,1,,,2:旺相之爻遇沖,2:靜爻遇沖|4:靜爻遇沖,,,,,normal
34,1,乾為天,static,,子,丁酉,辰|巳,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
35,1,乾為天,static,,子,戊戌,辰|巳,午,旺|相|囚|死|休|囚,1,1,,,3:休囚之爻遇日沖,3:空爻遇沖|4:靜爻遇沖,,,,,normal
36,1,乾為天,static,,子,己亥,辰|巳,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
37,1,乾為天,static,,子,庚子,辰|巳,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
38,1,乾為天,static,,子,辛丑,辰|巳,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
39,1,乾為天,static,,子,壬寅,辰|巳,午,旺|相|囚|死|休|囚,1,1,,,5:休囚之爻遇日沖,4:靜爻遇沖|5:靜爻遇沖,,,,,normal
40,1,乾為天,static,,子,癸卯,辰|巳,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
41,1,乾為天,static,,子,甲辰,寅|卯,午,旺|相|囚|死|休|囚,1,1,,,6:休囚之爻遇日沖,4:靜爻遇沖|6:靜爻遇沖,,,,,normal
42,1,乾為天,static,,子,乙巳,寅|卯,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
43,1,乾為天,static,,子,丙午,寅|卯,午,旺|相|囚|死|休|囚,1,1,,,1:臨日月之爻遇沖|4:臨日月之爻遇沖,1:靜爻遇沖|4:靜爻遇沖,,,,,normal
44,1,乾為天,static,,子,丁未,寅|卯,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
45,1,乾為天,static,,子,戊申,寅|卯,午,旺|相|囚|死|休|囚,1,1,,,2:旺相之爻遇沖,2:空爻遇沖|4:靜爻遇沖,,,,,normal
